"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Apoe1",0,1.24591405135359,0.999,0.997,0,"6","Apoe"
"S100b1",0,0.925032868018273,0.997,0.999,0,"6","S100b"
"Ppp1r9b1",1.1096882387914e-317,1.11017415781037,0.995,0.984,1.07517693456499e-313,"6","Ppp1r9b"
"Fxyd11",2.52382565733792e-316,1.51275485779474,0.946,0.678,2.44533467939471e-312,"6","Fxyd1"
"Serpinh11",8.11570984590748e-316,2.12697497481149,0.712,0.313,7.86331126969975e-312,"6","Serpinh1"
"Aebp1",2.79826292789671e-307,3.13312414225455,0.298,0.052,2.71123695083912e-303,"6","Aebp1"
"Gfap1",3.52510598780377e-288,1.4466503672807,0.988,0.795,3.41547519158307e-284,"6","Gfap"
"Gjb2",8.50411656760749e-278,3.32554713796393,0.286,0.053,8.2396385423549e-274,"6","Gjb2"
"Camk2a2",2.09184258242383e-276,1.25936857083473,0.956,0.895,2.02678627811045e-272,"6","Camk2a"
"Ptgds1",6.77880938071201e-260,3.4437542828178,0.95,0.811,6.56798840897187e-256,"6","Ptgds"
"Slc2a11",2.47396090547682e-259,1.29853899342644,0.925,0.726,2.39702072131649e-255,"6","Slc2a1"
"Myl9",3.00130356136805e-259,3.30626888288559,0.458,0.146,2.9079630206095e-255,"6","Myl9"
"Camk2n12",3.8488692622346e-245,1.22649526487634,0.977,0.955,3.7291694281791e-241,"6","Camk2n1"
"Baiap31",0,2.9120570241943,0.79,0.131,0,"7","Baiap3"
"Hap11",0,2.46178860546904,0.952,0.345,0,"7","Hap1"
"Vat1l1",0,1.75010379733208,0.91,0.34,0,"7","Vat1l"
"Zcchc122",0,1.97917122546747,0.861,0.333,0,"7","Zcchc12"
"Six31",0,1.76667151524095,0.654,0.16,0,"7","Six3"
"Nos12",0,3.0520393699182,0.647,0.171,0,"7","Nos1"
"Meis22",0,2.19840268947918,0.592,0.162,0,"7","Meis2"
"Pnck2",0,2.17817332822363,0.612,0.186,0,"7","Pnck"
"Gad21",0,1.49346695373014,0.941,0.559,0,"7","Gad2"
"Krt71",0,3.47357091752664,0.421,0.044,0,"7","Krt71"
"Gaa1",0,1.44934166953558,0.94,0.598,0,"7","Gaa"
"Nnat2",0,1.586032963213,0.999,0.759,0,"7","Nnat"
"Ly6h3",0,1.32317311254563,0.995,0.816,0,"7","Ly6h"
"Pgrmc12",0,1.22028070109337,0.995,0.909,0,"7","Pgrmc1"
"Pnmal22",0,1.25770707064955,0.999,0.93,0,"7","Pnmal2"
"Cpne72",4.9602659238959e-317,1.61231079407191,0.801,0.351,4.80600165366274e-313,"7","Cpne7"
"Zim11",4.10976682822313e-314,2.77353233800648,0.279,0.042,3.98195307986539e-310,"7","Zim1"
"Hpcal43",3.08623030022801e-303,1.10271068060112,0.984,0.735,2.99024853789092e-299,"7","Hpcal4"
"Tspyl21",6.662772061201e-300,1.32206783428222,0.908,0.604,6.45555985009765e-296,"7","Tspyl2"
"Nrsn22",1.63963554623794e-292,1.53200059244766,0.761,0.324,1.58864288074994e-288,"7","Nrsn2"
"Cabp7",0,2.80836574201783,0.989,0.262,0,"8","Cabp7"
"Lrrc10b",0,3.74656972065969,0.466,0.042,0,"8","Lrrc10b"
"Bhlhe22",0,3.36167241968755,0.427,0.063,0,"8","Bhlhe22"
"Ddn3",0,1.88374484190411,0.998,0.657,0,"8","Ddn"
"Ntf3",0,4.32841062973914,0.368,0.036,0,"8","Ntf3"
"Adcy13",0,2.57404540397665,0.99,0.783,0,"8","Adcy1"
"Camk2a3",0,1.57829011427376,1,0.895,0,"8","Camk2a"
"Kcnab21",1.0238021699619e-289,1.31108584312829,0.997,0.842,9.91961922476081e-286,"8","Kcnab2"
"Nsmf1",2.06583617644666e-260,1.40576715500458,0.999,0.915,2.00158867135917e-256,"8","Nsmf"
"Jph44",1.37119468596468e-255,1.42106266844695,0.942,0.707,1.32855053123117e-251,"8","Jph4"
"Sowaha4",2.53030454112343e-237,1.99300103423039,0.698,0.27,2.4516120698945e-233,"8","Sowaha"
"Camta21",1.1833928964627e-234,1.31222487088603,0.951,0.783,1.14658937738271e-230,"8","Camta2"
"Pxdn2",2.37910509794314e-226,3.06005851995678,0.465,0.128,2.3051149293971e-222,"8","Pxdn"
"Ntng23",3.65489201234938e-223,1.61792589966058,0.785,0.364,3.54122487076532e-219,"8","Ntng2"
"Ncs12",6.84953221557315e-222,1.1052678317917,1,0.988,6.63651176366883e-218,"8","Ncs1"
"Gfod13",1.2702853587098e-221,1.61995937861845,0.851,0.551,1.23077948405393e-217,"8","Gfod1"
"Epha8",1.15780510377743e-216,3.27772762532821,0.4,0.098,1.12179736504996e-212,"8","Epha8"
"Ski3",3.65623866366034e-204,1.07363388978957,0.973,0.842,3.54252964122051e-200,"8","Ski"
"Cbfa2t34",4.19386014733815e-197,1.65053418936278,0.761,0.374,4.06343109675594e-193,"8","Cbfa2t3"
"Kcng11",1.04878716520078e-192,2.63484702284887,0.371,0.089,1.01616988436304e-188,"8","Kcng1"
